country	catering24	catering8	overnight
Ägypten	50	33	112
Äthiopien	44	29	159
Äquatorialguinea	42	28	166
Albanien	33	22	116
Algerien	47	32	120
Andorra	45	30	135
Angola	40	27	368
Argentinien	42	28	119
Armenien	29	20	107
Aserbaidschan	44	29	88
Australien		 	 
– Canberra	74	49	186
– Sydney	57	38	173
– im Übrigen	57	38	173
Bahrain	48	32	153
Bangladesch	46	31	189
Barbados	54	36	206
Belgien	59	40	141
Benin	40	27	168
Bhutan	27	18	176
Bolivien	46	31	108
Bosnien und Herzegowina	32	21	109
Botsuana	40	27	105
Brasilien		 	 
– Brasilia	51	34	88
– Rio de Janeiro	69	46	140
– Sao Paulo	46	31	151
– im Übrigen	46	31	88
Brunei	45	30	110
Bulgarien	38	25	109
Burkina Faso	39	26	230
Burundi	58	39	102
Chile	44	29	154
China	 	 	 
– Hongkong	83	56	209
– Peking	57	38	184
– Shanghai	48	32	142
– im Übrigen	48	32	142
Costa Rica	60	40	127
Côte d’Ivoire	60	40	171
Dänemark	75	50	183
Dominikanische Republik	50	33	167
Dschibuti	77	52	255
Ecuador	27	18	103
El Salvador	65	44	161
Eritrea	46	31	78
Estland	39	26	125
Fidschi	32	21	183
Finnland	54	36	171
Frankreich		 	 
"– Paris sowie die
Departments 77, 78, 91 bis 95"	58	39	159
– im Übrigen	53	36	105
Gabun	64	43	263
Gambia	40	27	161
Georgien	45	30	87
Ghana	46	31	203
Griechenland		 	 
– Athen	40	27	139
– im Übrigen	36	24	150
Guatemala	46	31	124
Guinea	59	40	140
Guinea-Bissau	32	21	113
Honduras	57	38	198
Indien	 	 	 
– Bangalore	42	28	155
– Chennai	22	15	80
– Kalkutta	32	21	167
– Mumbai	53	36	218
– Neu Delhi	46	31	211
– im Übrigen	22	15	80
Indonesien	45	30	179
Iran	33	22	196
Irland	64	43	164
Island	62	41	187
Israel	59	40	268
Italien	 	 	 
– Mailand	42	28	191
– Rom	48	32	150
– im Übrigen	42	28	150
Jamaika	39	26	171
Japan	 	 	 
– Tokio	50	33	285
– Osaka	33	22	141
– im Übrigen	33	22	141
Jordanien	57	38	134
Kambodscha	42	28	108
Kamerun	56	37	275
Kanada		 	 
– Ottawa	62	41	214
– Toronto	54	36	392
– Vancouver	63	42	304
– im Übrigen	54	36	214
Kap Verde	38	25	90
Kasachstan	33	22	108
Katar	81	54	128
Kenia	48	32	217
Kirgisistan	35	24	80
Kolumbien	34	23	123
Kongo, Republik	53	36	215
Kongo, Demokratische Republik	65	44	337
Korea, Republik	39	26	130
Kosovo	24	16	71
Kroatien	46	31	191
Kuba	51	34	170
Kuwait	63	42	224
Laos	35	24	71
Lesotho	28	19	104
Lettland	46	31	119
Libanon	69	46	146
Liberia	65	44	173
Liechtenstein	57	38	234
Litauen	48	32	124
Luxemburg	63	42	139
Madagaskar	33	22	116
Malawi	41	28	109
Malaysia	36	24	86
Malediven	70	47	200
Mali	42	28	141
Malta	59	40	191
Marokko	41	28	87
Marshall Inseln	45	30	112
Mauretanien	35	24	86
Mauritius	44	29	172
Mexiko	40	27	337
Moldau, Republik	26	17	73
Monaco	52	35	187
Mongolei	23	16	92
Montenegro	32	21	85
Mosambik	51	34	208
Myanmar	23	16	103
Namibia	28	19	146
Nepal	33	22	125
Neuseeland	58	39	148
Nicaragua	46	31	105
Niederlande	58	39	167
Niger	42	28	131
Nigeria	52	35	202
Nordmazedonien	27	18	89
Norwegen	75	50	139
Österreich	50	33	117
Oman	64	43	141
Pakistan	41	28	199
Palau	51	34	193
Panama	41	28	82
Papua-Neuguinea	59	40	159
Paraguay	39	26	124
Peru	52	35	128
Philippinen	41	28	140
Polen	 	 	 
– Breslau	34	23	124
– Warschau	40	27	143
– im Übrigen	34	23	124
Portugal	32	21	111
Ruanda	44	29	117
Rumänien	38	25	103
Russische Föderation		 	 
– Moskau	30	20	235
– St. Petersburg	28	19	133
– im Übrigen	28	19	133
Sambia	38	25	105
Samoa	39	26	105
San Marino	34	23	79
São Tomé – Príncipe	36	24	147
Saudi-Arabien		 	 
– Djidda	57	38	181
– Riad	56	37	186
– im Übrigen	56	37	181
Schweden	66	44	140
Schweiz		 	 
– Bern	82	55	195
– Genf	70	47	197
– im Übrigen	70	47	195
Senegal	48	32	160
Serbien	27	18	97
Sierra Leone	57	38	145
Simbabwe	63	42	198
Singapur	71	48	277
Slowakische Republik	33	22	121
Slowenien	38	25	126
Spanien		 	 
– Barcelona	34	23	144
– Kanarische Inseln	36	24	103
– Madrid	42	28	131
– Palma de Mallorca	44	29	142
– im Übrigen	34	23	103
Sri Lanka	36	24	112
Südafrika		 	 
– Kapstadt	33	22	130
– Johannesburg	36	24	129
– im Übrigen	29	20	109
Südsudan	51	34	159
Tadschikistan	27	18	85
Taiwan	51	34	174
Tansania	44	29	97
Thailand	36	24	114
Togo	36	24	144
Tonga	29	20	102
Trinidad und Tobago	66	44	203
Tschad	42	28	155
Tschechische Republik	32	21	77
Türkei	 	 	 
– Ankara	32	21	110
– Izmir	44	29	120
– im Übrigen	24	16	107
Tunesien	40	27	144
Turkmenistan	28	19	135
Uganda	45	30	207
Ukraine	33	22	180
Ungarn	32	21	85
Uruguay	40	27	113
Usbekistan	32	21	133
Vatikanstaat	48	32	150
Venezuela	51	34	178
Vereinigte Arabische Emirate	81	54	169
"Vereinigte Staaten von Amerika
(USA)"		 	 
– Atlanta	77	52	182
– Boston	63	42	333
– Chicago	65	44	233
– Houston	62	41	204
– Los Angeles	64	43	262
– Miami	65	44	256
– New York City	66	44	308
– San Francisco	59	40	327
– Washington, D. C.	66	44	203
– im Übrigen	59	40	182
"Vereinigtes Königreich von
Großbritannien und Nordirland"		 	 
– London	66	44	163
– im Übrigen	52	35	99
Vietnam	36	24	111
Weißrussland	21	14	148
Zentralafrikanische Republik	53	36	210
Zypern	42	28	125